Episode,Date,Guests (Himself/Herself - Role),References
1x01,2017-06-08,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);ewwqjcle:Nish Kumar (Himself);4o9rjknr:Lucy Prebble (Herself),https://www.bbc.co.uk/programmes/b08tpkc4
1x02,2017-06-16,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);f2iku5x8:Mona Chalabi (Herself);qv4meooo:Rob Delaney (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/1/2/
1x03,2017-06-30,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);sy2sdgn0:Dane Baptiste (Himself);bp5k0ezt:Benjamin Zephaniah (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/1/3/
1x04,2017-07-14,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);59gmixwl:Desiree Burch (Herself);9k3xrhyo:Romesh Ranganathan (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/1/4/
2017x01,2017-12-29,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);f2iku5x8:Mona Chalabi (Herself);lcx9zc14:Miles Jupp (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2017/1/
2x01,2018-05-18,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);pyqgtpx8:David Baddiel (Himself);rwxhc32a:Joe Lycett (Himself);f2iku5x8:Mona Chalabi (Herself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/1/
2x02,2018-05-25,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);f2iku5x8:Mona Chalabi (Herself);ifylat4m:Ahir Shah (Himself);rozf21rk:Akala (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/2/
2x03,2018-06-01,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);c26v5h9k:Katherine Ryan (Herself);f2iku5x8:Mona Chalabi (Herself);fsmcqxh1:Jack Carroll (Himself);xlfikdcz:Holly Walsh (Herself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/3/
2x04,2018-06-08,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);lcx9zc14:Miles Jupp (Himself);5a6ylpdb:Richard Osman (Himself);h6bpnkyr:Doug Stanhope (Himself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/4/
2x05,2018-06-15,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);9k3xrhyo:Romesh Ranganathan (Himself);lcx9zc14:Miles Jupp (Himself);59gmixwl:Desiree Burch (Herself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/5/
2x06,2018-06-22,m9jas0rx:Frankie Boyle (Himself - Host);lyr97zzu:Sara Pascoe (Herself);45nd42d5:Roisin Conaty (Herself);lcx9zc14:Miles Jupp (Himself);4o9rjknr:Lucy Prebble (Herself),https://www.comedy.co.uk/tv/frankie_boyle_new_world_order/episodes/2/6/
