Episode,Date,Guests (Himself/Herself - Role),References
0x01,2012-01-02,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself);k6egqudh:Jon Richardson (Himself);eyjfogrf:Joe Wilkinson (Himself);,
0x02,2012-08-24,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);rvyg998l:Clarke Carlisle (Himself);eyjfogrf:Joe Wilkinson (Himself);qzdunwq0:David O'Doherty (Himself);,
0x03,2013-04-12,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);3xla1274:Lee Mack (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);vj7g8edl:Rob Beckett (Himself);w4g8xnp5:Rhod Gilbert (Himself);gw6opwme:Tim Key (Himself);,
0x04,2013-04-19,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);3xla1274:Lee Mack (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);5a6ylpdb:Richard Osman (Himself);1fchiwmk:Stephen Mangan (Himself);5dvk7gjz:Henning Wehn (Himself);,
1x01,2013-07-26,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);3vblg9jo:Jason Manford (Himself);w4g8xnp5:Rhod Gilbert (Himself);4lv1v3uk:Danny Dyer (Himself);,
1x02,2013-08-02,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);w4g8xnp5:Rhod Gilbert (Himself);lcx9zc14:Miles Jupp (Himself);x06ndrsl:Nick Helm (Himself);,
1x03,2013-08-09,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);8zjfx5c2:Humphrey Ker (Himself);oxyl45br:Sarah Millican (Herself);o7fyqsem:Rich Hall (Himself);,
1x04,2013-08-16,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);oxyl45br:Sarah Millican (Herself);5c44y6fb:Chris Ramsey (Himself);43gklwj9:Abandoman (Himself);,
1x05,2013-08-13,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);3xla1274:Lee Mack (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);k4ynw4wa:Bob Mortimer (Himself);nf812lji:Adam Hills (Himself);n87xrdv6:Alex Horne (Himself);,
1x06,2013-08-20,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);3xla1274:Lee Mack (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);qzdunwq0:David O'Doherty (Himself);5dvk7gjz:Henning Wehn (Himself);y4h3y6yc:Vic Reeves (Himself);,
2x01,2014-01-03,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);w4g8xnp5:Rhod Gilbert (Himself);h6o9xvx5:Kevin Bridges (Himself);bgfey1xd:Josie Long (Herself);,
2x02,2014-01-10,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);lcx9zc14:Miles Jupp (Himself);4lzawlf5:Aisling Bea (Herself);x06ndrsl:Nick Helm (Himself);,
2x03,2014-01-17,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);l3qwywbu:Kathy Burke (Herself);ysvv93ea:Josh Widdicombe (Himself);x9y0q5f5:Dara O'Briain (Himself);,
2x04,2014-01-24,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);x9y0q5f5:Dara O'Briain (Himself);6462fbck:Sharon Horgan (Herself);vj70vg71:Adam Buxton (Himself);,
2x05,2014-02-21,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);goz3ofbt:Jack Dee (Himself);zid1la51:James Corden (Himself);rwxhc32a:Joe Lycett (Himself);,
2x06,2014-02-28,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);zid1la51:James Corden (Himself);h6o9xvx5:Kevin Bridges (Himself);7lm338ce:Peter Serafinowicz (Himself);,
3x01,2014-06-06,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);45nd42d5:Roisin Conaty (Herself);cgg5lqmj:Jonathan Ross (Himself);qzdunwq0:David O'Doherty (Himself);,
3x02,2014-06-13,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);wyv2lc7u:Andrew Flintoff (Himself);w4g8xnp5:Rhod Gilbert (Himself);5dvk7gjz:Henning Wehn (Himself);,
3x03,2014-06-20,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);bgfey1xd:Josie Long (Herself);vj7g8edl:Rob Beckett (Himself);y4h3y6yc:Vic Reeves (Himself);,
3x04,2014-06-27,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);1fchiwmk:Stephen Mangan (Himself);3vblg9jo:Jason Manford (Himself);gw6opwme:Tim Key (Himself);,
3x05,2014-06-27,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);b93y6vnu:Jo Brand (Herself);acajgupg:Claudia Winkleman (Herself);l2c0axys:Bill Bailey (Himself);,
3x06,2014-07-11,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);l2c0axys:Bill Bailey (Himself);ysvv93ea:Josh Widdicombe (Himself);3avwy5ai:Jake Yapp (Himself);,
3x07,2014-07-18,tiewbgqw:Jimmy Carr (Himself - Host);l2c41fr1:Rachel Riley (Herself - Co-host);a12mas09:Susie Dent (Herself - Lexicographer);yipahedd:Sean Lock (Himself - Captain);k6egqudh:Jon Richardson (Himself - Captain);eyjfogrf:Joe Wilkinson (Himself - Rachel's assistant);k4ynw4wa:Bob Mortimer (Himself);5a6ylpdb:Richard Osman (Himself);q1vghuhp:Matthew Crosby (Himself);,
