Episode,Date,Guests (Himself/Herself - Role),References
1x01,2003-09-11,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);mop8wi6t:John Sessions (Himself);8b83ajav:Danny Baker (Himself);jla1y4bc:Hugh Laurie (Himself);,http://www.bbc.co.uk/programmes/b008hrn3
1x02,2003-09-18,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);l2c0axys:Bill Bailey (Himself);o7fyqsem:Rich Hall (Himself);87ulicd3:Jeremy Hardy (Himself);,http://www.bbc.co.uk/programmes/b0074ph7
1x03,2003-09-25,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);i4apt8jq:Clive Anderson (Himself);smrcieap:Meera Syal (Herself);l2c0axys:Bill Bailey (Himself);,http://www.bbc.co.uk/programmes/b0074phr
1x04,2003-10-02,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);b93y6vnu:Jo Brand (Herself);y7u7dqp8:Howard Goodall (Himself);87ulicd3:Jeremy Hardy (Himself);,http://www.bbc.co.uk/programmes/b0078m07
1x05,2003-10-09,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);9hgf4amz:Rob Brydon (Himself);e7o1gtcv:Gyles Brandreth (Himself);o7fyqsem:Rich Hall (Himself);,http://www.bbc.co.uk/programmes/b0078m3c
1x06,2003-10-16,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);y7u7dqp8:Howard Goodall (Himself);b93y6vnu:Jo Brand (Herself);8b83ajav:Danny Baker (Himself);,http://www.bbc.co.uk/programmes/b0078m6n
1x07,2003-10-23,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);tiewbgqw:Jimmy Carr (Himself);y3wcwk7v:Jackie Clune (Herself);b93y6vnu:Jo Brand (Herself);,http://www.bbc.co.uk/programmes/b0074pld
1x08,2003-10-30,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);rq34yrxp:Linda Smith (Herself);yipahedd:Sean Lock (Himself);i4apt8jq:Clive Anderson (Himself);,http://www.bbc.co.uk/programmes/b0074plz
1x09,2003-11-06,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);2ufl1i4u:Dave Gorman (Himself);87ulicd3:Jeremy Hardy (Himself);b93y6vnu:Jo Brand (Herself);,http://www.bbc.co.uk/programmes/b0074pmr
1x10,2003-11-13,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);4gmtfav5:Julia Morris (Herself);7lm338ce:Peter Serafinowicz (Himself);o7fyqsem:Rich Hall (Himself);,http://www.bbc.co.uk/programmes/b0074pnj
1x11,2003-11-20,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);7tgfhtp7:Richard E. Grant (Himself);l2c0axys:Bill Bailey (Himself);rq34yrxp:Linda Smith (Herself);,http://www.bbc.co.uk/programmes/b0074pp6
1x12,2003-12-23,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);sx5n2tkh:Phill Jupitus (Himself);yipahedd:Sean Lock (Himself);mop8wi6t:John Sessions (Himself);,http://www.bbc.co.uk/programmes/b0078nbv
2x01,2004-10-08,fc3xrxvy:Stephen Fry (Himself - Host);hk2rczao:Alan Davies (Himself - Regular);b93y6vnu:Jo Brand (Herself);l2c0axys:Bill Bailey (Himself);yipahedd:Sean Lock (Himself);,http://www.bbc.co.uk/programmes/b0074qx2
