Episode,Date,Guests (Himself/Herself - Role),References
1x01,2012-02-23,lcx9zc14:Miles Jupp (Himself - Host);8uyyhvpe:Rachel Johnson (Herself);q9yevpvt:Desmond Lynam (Himself);9e3q4p9k:Mark Steel (Himself);ciotpq86:Michael Winner (Himself),
1x02,2012-03-01,lcx9zc14:Miles Jupp (Himself - Host);z4b6o3bs:Rebecca Front (Herself);t83bgude:Simon Day (Himself);otgx4neo:Jason Cook (Himself),
1x03,2012-03-08,lcx9zc14:Miles Jupp (Himself - Host);45nd42d5:Roisin Conaty (Herself);lqu3n4lu:Ed Byrne (Himself);yeh4puca:Richard Madeley (Himself);br7sc6e7:John Motson (Himself),
1x04,2012-03-15,lcx9zc14:Miles Jupp (Himself - Host);tkjzjcgo:Emma Freud (Herself);p8h0unpx:Tom Wrigglesworth (Himself);9nw3ng5z:Shaun Keaveny (Himself),
2x01,2013-07-09,lcx9zc14:Miles Jupp (Himself - Host);m9jas0rx:Frankie Boyle (Himself);k56f1us9:Diane Morgan (Herself);nw0oe9en:Alan Johnson (Himself),
2x02,2013-07-16,lcx9zc14:Miles Jupp (Himself - Host);8bduf8ih:Frank Skinner (Himself);wiqek7yz:Grace Dent (Herself);hqxarqhh:Jonathan Agnew (Himself),
2x03,2013-07-23,lcx9zc14:Miles Jupp (Himself - Host);08tkx8oo:Justin Moorhouse (Himself);rpplxf6m:Bridget Christie (Herself);5mbiq6m2:Ainsley Harriott (Himself),
2x04,2013-07-30,lcx9zc14:Miles Jupp (Himself - Host);x06ndrsl:Nick Helm (Himself);bik5fnyr:Isy Suttie (Herself);p3q1pn34:Dougie Anderson (Himself),
2x05,2013-08-06,lcx9zc14:Miles Jupp (Himself - Host);k0jzn1xr:Francis Wheen (Himself);fne2eqbt:Kirsty Wark (Herself);luynjnx4:Andrew Maxwell (Himself),
2x06,2013-08-13,lcx9zc14:Miles Jupp (Himself - Host);2ufl1i4u:Dave Gorman (Himself);1voxipjt:Anneka Rice (Herself);rwxhc32a:Joe Lycett (Himself),
3x01,2015-06-30,lcx9zc14:Miles Jupp (Himself - Host);5a6ylpdb:Richard Osman (Himself);oxyl45br:Sarah Millican (Herself);4rm30csy:Nathan Caton (Himself),
3x02,2015-07-07,lcx9zc14:Miles Jupp (Himself - Host);du20ea69:Seann Walsh (Himself);sy2sdgn0:Dane Baptiste (Himself);vvpc2276:Sara Cox (Herself),
3x03,2015-07-14,lcx9zc14:Miles Jupp (Himself - Host);9k3xrhyo:Romesh Ranganathan (Himself);8kk9kqxv:Christopher Biggins (Himself);c26v5h9k:Katherine Ryan (Herself),
3x04,2015-07-21,lcx9zc14:Miles Jupp (Himself - Host);pgoexum5:Lucy Porter (Herself);98c7u0ig:Cornelius Lysaght (Himself);p8h0unpx:Tom Wrigglesworth (Himself),
3x05,2015-07-28,lcx9zc14:Miles Jupp (Himself - Host);kn84ys1v:Elis James (Himself);4erpgze9:Penny Smith (Herself);vc33r4p1:Russell Grant (Himself),
3x06,2015-08-04,lcx9zc14:Miles Jupp (Himself - Host);nlbhhrhx:Susan Calman (Herself);qx0mniaw:Vernon Kay (Himself);lyr97zzu:Sara Pascoe (Herself);x5izm5in:Matt Stronge (Himself),
4x01,2016-09-29,rwxhc32a:Joe Lycett (Himself - Host);xlfikdcz:Holly Walsh (Herself);1epv3lho:Tim Lovejoy (Himself);ewwqjcle:Nish Kumar (Himself),http://www.bbc.co.uk/programmes/b07wgmf8
4x02,2016-10-07,rwxhc32a:Joe Lycett (Himself - Host);jtkbv70w:Zoe Lyons (Herself);xz16da4q:Adrian Chiles (Himself);q4sr36sa:Mae Martin (Herself),http://www.bbc.co.uk/programmes/b07wthbz
4x03,2016-10-13,rwxhc32a:Joe Lycett (Himself - Host);ok7h93p6:Terry Christian (Himself);nban01ux:Jocelyn Jee Esien (Herself);4lzawlf5:Aisling Bea (Herself),http://www.bbc.co.uk/programmes/b07x6jcr
4x04,2016-10-20,rwxhc32a:Joe Lycett (Himself - Host);wuzxhhqe:Vanessa Feltz (Herself);ce8h41kh:Tom Parry (Himself);bne00n41:Andy Parsons (Himself),https://en.wikipedia.org/wiki/It's_Not_What_You_Know_(radio_series)
5x01,2018-03-07,rwxhc32a:Joe Lycett (Himself - Host);59gmixwl:Desiree Burch (Herself);ltky6r8w:Tony Hawks (Himself);l2c41fr1:Rachel Riley (Herself),https://en.wikipedia.org/wiki/It's_Not_What_You_Know_(radio_series)
5x02,2018-03-14,rwxhc32a:Joe Lycett (Himself - Host);e7o1gtcv:Gyles Brandreth (Himself);vg4mni0b:Sarah Kendall (Herself);qa5s3f3t:Phil Wang (Himself),https://en.wikipedia.org/wiki/It's_Not_What_You_Know_(radio_series)
5x03,2018-03-21,rwxhc32a:Joe Lycett (Himself - Host);fsmcqxh1:Jack Carroll (Himself);varfhn88:Melanie Chisholm (Herself);4omd31xd:Kerry Godliman (Herself),https://en.wikipedia.org/wiki/It's_Not_What_You_Know_(radio_series)
5x04,2018-03-28,rwxhc32a:Joe Lycett (Himself - Host);zkbg1ia3:Fern Britton (Herself);9t9u6aoh:Ivo Graham (Himself);1rtqz52s:Russell Kane (Himself),https://en.wikipedia.org/wiki/It's_Not_What_You_Know_(radio_series)
