Episode,Date,Guests (Himself/Herself - Role),References
1x01,1965-01-06,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);rlzqa2sb:Marjorie Proops (Herself);xaamg8m7:Jill Adams (Herself);uvpvq2fo:Jane Asher (Herself),http://genome.ch.bbc.co.uk/6313b9c484f1486889999a74a73fd737
1x02,1965-01-13,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);q5q1cv4p:Dee Wells (Herself);xaamg8m7:Jill Adams (Herself);uvpvq2fo:Jane Asher (Herself);,http://genome.ch.bbc.co.uk/06c91bb147a948daa8b94f8303184330
1x03,1965-01-20,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);rlzqa2sb:Marjorie Proops (Herself);xaamg8m7:Jill Adams (Herself);0vqulkp3:Francesca Annis (Herself);,http://genome.ch.bbc.co.uk/eda7a67a42774a1688cb7b5465190c0f
1x04,1965-01-27,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);q5q1cv4p:Dee Wells (Herself);xaamg8m7:Jill Adams (Herself);uvpvq2fo:Jane Asher (Herself);,http://genome.ch.bbc.co.uk/a603c06d49b4477ca009aa13b30703a4
1x05,1965-02-03,5ve2jt25:Renée Houston (Herself);aa1p0y1x:Sheila van Damm (Herself);xaamg8m7:Jill Adams (Herself);galr70j3:Anneke Wills (Herself),http://genome.ch.bbc.co.uk/c0f937646e2c40f08de9bcd68be9d28a
1x06,1965-02-10,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);aa1p0y1x:Sheila van Damm (Herself);xaamg8m7:Jill Adams (Herself);galr70j3:Anneke Wills (Herself);,http://genome.ch.bbc.co.uk/a10dc9da98c6494792fc98ff3422b37a
1x07,1965-02-17,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);aa1p0y1x:Sheila van Damm (Herself);xaamg8m7:Jill Adams (Herself);q9sdfxup:Maureen Cleave (Herself),http://genome.ch.bbc.co.uk/b9f832994c9040cfa2ee1fd63286fe7d
1x08,1965-02-24,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);xaamg8m7:Jill Adams (Herself);aa1p0y1x:Sheila van Damm (Herself);q9sdfxup:Maureen Cleave (Herself),http://genome.ch.bbc.co.uk/84255421a06f41a08690dbc26fe8f776
1x09,1965-03-03,rak4tfxx:Anona Winn (Herself - Chair);essnx1aa:Serena Sinclair (Herself);pz7yw5zw:Molly Weir (Herself);2nmtzhhb:Brenda Bury (Herself);ne1kwgsv:Melanie Franklin (Herself),http://genome.ch.bbc.co.uk/1098de2f4f9f45489e64dfd874807309
1x10,1965-03-10,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);rlzqa2sb:Marjorie Proops (Herself);xaamg8m7:Jill Adams (Herself);5w9vpz1s:Lucy Bartlett (Herself);,http://genome.ch.bbc.co.uk/56d61787d6314eeb8f6e59bc2adb6d41
1x11,1965-03-17,rak4tfxx:Anona Winn (Herself - Chair);5ve2jt25:Renée Houston (Herself);rlzqa2sb:Marjorie Proops (Herself);xaamg8m7:Jill Adams (Herself);5w9vpz1s:Lucy Bartlett (Herself);,http://genome.ch.bbc.co.uk/f2f53d07332d49558d6653769cf39233
1x12,1965-03-24,rak4tfxx:Anona Winn (Herself - Chair);6ya5kucg:Ethel Revnell (Herself);rlzqa2sb:Marjorie Proops (Herself);xaamg8m7:Jill Adams (Herself);q9sdfxup:Maureen Cleave (Herself);,http://genome.ch.bbc.co.uk/40b994b8c0ba4210a508733703f9c648
