Episode,Date,Guests (Himself/Herself - Role),References
1x01,1995-09-14,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);27y8byz9:Rory Bremner (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);n7b10tzf:Roger Black (Himself),
1x02,1995-09-21,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);i4apt8jq:Clive Anderson (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);2yvghn90:Tessa Sanderson (Herself),
1x03,1995-09-28,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);5d7577dg:John Barnes (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);b93y6vnu:Jo Brand (Herself),
1x04,1995-10-05,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);bbjlysaj:Fred MacAulay (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);4yuzqr39:Barry McGuigan (Himself),
1x05,1995-10-12,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);br7sc6e7:John Motson (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);5b5you5n:Alistair McGowan (Himself),
1x06,1995-10-19,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);b1f0ddmz:Ally McCoist (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);i5uubaby:Hugh Dennis (Himself),
1x07,1995-12-28,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);33zuk3zs:Mel Smith (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);86t87lay:Allan Lamb (Himself),
2x01,1996-03-12,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);17ti1bqt:Neil Morrissey (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);m39tw6zk:Ian Wright (Himself),
2x02,1996-03-19,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);z2hsca0r:Bob Mills (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);hhgjyy0a:Sharron Davies (Herself),
2x03,1996-03-26,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);n0c0toa2:Steve Cram (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);qrek4van:Craig Charles (Himself),
2x04,1996-04-02,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);6wy4ycfh:John Gordon Sinclair (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);na8hpky3:Kriss Akabusi (Himself),
2x05,1996-04-09,32gvimgg:Nick Hancock (Himself - Host);sp0919u8:David Gower (Himself - Team Captain);mweb58qf:Lee Hurst (Himself);dby3b0ca:Steve Davis (Himself);szqj2i5f:Gary Lineker (Himself - Team Captain);yta3thvj:Rory McGrath (Himself);yluwzeu8:Gaby Roslin (Herself),
